country;alc;years;beer_servings;spirit_servings;wine_servings
Afghanistan;0;61.25205;0;0;0
Albania;4.8796275;74.13;89;132;54
Algeria;0.6920199;71.82955;25;0;14
Andorra;12.3321495;82.65301;245;138;312
Angola;5.6603679;51.74093;217;57;45
Antigua and Barbuda;4.8796275;75.378;102;128;45
Argentina;7.7896599;76.31537;193;25;221
Armenia;3.7440051;71.02699;21;179;11
Australia;9.6705345;82.58784;261;72;212
Austria;9.6705345;81.31606;279;75;191
Azerbaijan;1.2775752;72.4111;21;46;5
Bahamas;7.9316127;75.52535;122;176;149
Bahrain;1.9873392;77.24355;42;63;7
Bangladesh;0;70.71071;0;0;0
Barbados;6.2459232;78.14867;143;173;36
Belarus;9.8834637;71.80493;142;373;42
Belgium;10.4867631;80.48828;295;84;212
Belize;6.8314785;75.23206;263;114;8
Benin;0.9049491;58.839;34;4;13
Bhutan;0.4081143;68.38161;23;0;0
Bolivia;3.8327256;67.5944;167;41;8
Bosnia and Herzegovina;4.5602337;77.27174;76;173;8
Botswana;4.3118163;64.15195;173;35;35
Brazil;7.2041046;75.17133;245;145;16
Brunei;0.6032994;77.19981;31;2;1
Bulgaria;10.2383457;74.51299;231;252;94
Burkina Faso;0.6920199;58.56517;25;7;7
Burundi;1.5614808;56.20937;88;0;0
Cabo Verde;3.8327256;74.76584;144;56;16
Cambodia;2.1825243;72.61407;57;65;1
Cameroon;2.6971032;56.57552;147;1;4
Canada;8.1977742;81.97529;240;122;100
Central African Republic;0.354882;51.43201;17;2;1
Chad;0.3016497;51.7094;15;1;1
Chile;7.5589866;80.05825;130;124;172
China;4.9506039;75.48225;79;192;8
Colombia;4.2230958;78.06821;159;76;3
Comoros;0.0887205;61.86594;1;3;1
Republic of the Congo;1.5259926;58.92405;76;1;9
Cook Islands;5.8200648;75.82879;0;254;74
Costa Rica;4.3827927;79.31783;149;87;11
Croatia;10.1318811;78.15862;230;87;254
Cuba;4.1698635;78.29336;93;137;5
Cyprus;8.1445419;81.88437;192;154;113
Czech Republic;11.7998265;78.23041;361;170;134
Cote d'Ivoire;0.7984845;53.17685;37;1;7
Democratic People's Republic of Korea;0;69.93345;0;0;0
Democratic Republic of the Congo;0.6387876;52.17266;32;3;1
Denmark;13.3613073;79.90733;224;251;278
Djibouti;1.1001342;61.75758;15;44;3
Dominica;6.4588524;74.82867;52;286;26
Dominican Republic;6.1926909;73.69259;193;147;9
Ecuador;4.2408399;75.74088;162;74;3
Egypt;0.1951851;71.34473;6;4;1
El Salvador;2.1825243;72.56444;52;69;2
Equatorial Guinea;5.7668325;55.93278;92;0;233
Eritrea;0.3193938;63.85941;18;0;0
Estonia;8.4639357;76.89989;224;194;59
Ethiopia;0.4081143;64.67994;20;3;0
Fiji;2.0050833;69.56511;77;35;1
Finland;8.7478413;80.78438;263;133;97
France;11.4981768;82.01347;127;151;370
Gabon;8.9430264;63.65686;347;98;59
Gambia;0.1596969;61.22207;8;0;1
Georgia;5.3409741;74.43595;52;100;149
Germany;11.3207358;80.94221;346;117;175
Ghana;0.7807404;62.80416;31;3;10
Greece;8.2155183;81.26017;133;112;218
Grenada;11.7998265;73.27039;199;438;28
Guatemala;2.2002684;71.96651;53;69;2
Guinea;0.1951851;58.31797;9;0;2
Guinea Bissau;1.419528;53.89736;28;31;21
Guyana;7.0266636;63.53513;93;302;1
Haiti;5.8200648;62.75648;1;326;1
Honduras;2.9987529;74.44133;69;98;2
Hungary;11.2497594;75.21944;234;215;185
Iceland;6.6008052;82.43079;233;61;78
India;2.1825243;66.39526;9;114;0
Indonesia;0.1064646;70.76871;5;1;0
Iran;0;74.26825;0;0;0
Iraq;0.2129292;70.36568;9;3;0
Ireland;10.5754836;81.31725;313;118;165
Israel;2.5019181;82.4614;63;69;9
Italy;6.4588524;82.86323;85;42;237
Jamaica;3.3358908;74.43981;82;97;9
Japan;5.2345095;83.73987;77;202;16
Jordan;0.4968348;73.86859;6;21;1
Kazakhstan;6.7782462;67.95763;124;246;12
Kenya;1.4550162;61.49628;58;22;2
Kiribati;0.9936696;66.80363;21;34;1
Kuwait;0;78.38586;0;0;0
Kyrgyzstan;2.3777094;69.41342;31;97;6
Laos;3.2826585;66.36477;62;0;123
Latvia;9.9189519;74.1265;281;216;62
Lebanon;1.8808746;79.87961;20;55;31
Lesotho;1.9695951;50.36242;82;29;0
Liberia;3.0697293;62.02602;19;152;2
Libya;0;75.33909;0;0;0
Lithuania;11.4094563;74.30048;343;244;56
Luxembourg;11.356224;82.16427;236;133;271
Madagascar;0.7984845;64.39765;26;15;4
Malawi;0.354882;59.58976;8;11;1
Malaysia;0.3016497;74.05213;13;4;0
Maldives;0;77.66563;0;0;0
Mali;0.1242087;57.22025;5;1;1
Malta;6.5475729;80.63323;149;100;120
Marshall Islands;0;70.39505;0;0;0
Mauritania;0;63.18605;0;0;0
Mauritius;2.6083827;74.13084;98;31;18
